,Series_Title,Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Gross,Drama,Crime,Action,Biography,Western,Comedy,Adventure,Animation,Horror,Mystery,Film-Noir,Fantasy,Family,Thriller,Romance,Sci-Fi,War,Music,Musical,Sport,History
155,Batman Begins,2005,UA,140 min,8.2,70.0,Christopher Nolan,"206,852,432",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"Swades: We, the People",2004,U,210 min,8.2,,Ashutosh Gowariker,"1,223,240",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Der Untergang,2004,R,156 min,8.2,82.0,Oliver Hirschbiegel,"5,509,040",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,Hauru no ugoku shiro,2004,U,119 min,8.2,80.0,Hayao Miyazaki,"4,711,096",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
159,A Beautiful Mind,2001,UA,135 min,8.2,72.0,Ron Howard,"170,742,341",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Hera Pheri,2000,U,156 min,8.2,,Priyadarshan,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,"Lock, Stock and Two Smoking Barrels",1998,A,107 min,8.2,66.0,Guy Ritchie,"3,897,569",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,L.A. Confidential,1997,A,138 min,8.2,90.0,Curtis Hanson,"64,616,940",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,Eskiya,1996,,128 min,8.2,,Yavuz Turgul,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164,Heat,1995,A,170 min,8.2,76.0,Michael Mann,"67,436,818",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,Casino,1995,A,178 min,8.2,73.0,Martin Scorsese,"42,438,300",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Andaz Apna Apna,1994,U,160 min,8.2,,Rajkumar Santoshi,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,Unforgiven,1992,A,130 min,8.2,85.0,Clint Eastwood,"101,157,447",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Indiana Jones and the Last Crusade,1989,U,127 min,8.2,65.0,Steven Spielberg,"197,171,806",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Dom za vesanje,1988,R,142 min,8.2,,Emir Kusturica,"280,015",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Tonari no Totoro,1988,U,86 min,8.2,86.0,Hayao Miyazaki,"1,105,564",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
171,Die Hard,1988,A,132 min,8.2,72.0,John McTiernan,"83,008,852",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
172,Ran,1985,U,162 min,8.2,96.0,Akira Kurosawa,"4,135,750",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
173,Raging Bull,1980,A,129 min,8.2,89.0,Martin Scorsese,"23,383,987",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,Stalker,1979,U,162 min,8.2,,Andrei Tarkovsky,"234,723",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,Höstsonaten,1978,U,99 min,8.2,,Ingmar Bergman,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,The Message,1976,PG,177 min,8.2,,Moustapha Akkad,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,Sholay,1975,U,204 min,8.2,,Ramesh Sippy,,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Monty Python and the Holy Grail,1975,PG,91 min,8.2,91.0,Terry Gilliam,"1,229,197",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179,The Great Escape,1963,U,172 min,8.2,86.0,John Sturges,"12,100,000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,To Kill a Mockingbird,1962,U,129 min,8.2,88.0,Robert Mulligan,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Yôjinbô,1961,,110 min,8.2,,Akira Kurosawa,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
182,Judgment at Nuremberg,1961,A,179 min,8.2,60.0,Stanley Kramer,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,Some Like It Hot,1959,U,121 min,8.2,98.0,Billy Wilder,"25,000,000",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
184,Smultronstället,1957,U,91 min,8.2,88.0,Ingmar Bergman,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,Det sjunde inseglet,1957,A,96 min,8.2,88.0,Ingmar Bergman,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
186,Du rififi chez les hommes,1955,,118 min,8.2,97.0,Jules Dassin,"57,226",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
187,Dial M for Murder,1954,A,105 min,8.2,75.0,Alfred Hitchcock,"12,562",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188,Tôkyô monogatari,1953,U,136 min,8.2,,Yasujirô Ozu,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Rashômon,1950,,88 min,8.2,98.0,Akira Kurosawa,"96,568",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,All About Eve,1950,Passed,138 min,8.2,98.0,Joseph L. Mankiewicz,"10,177",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,The Treasure of the Sierra Madre,1948,Passed,126 min,8.2,98.0,John Huston,"5,014,000",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,To Be or Not to Be,1942,Passed,99 min,8.2,86.0,Ernst Lubitsch,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193,The Gold Rush,1925,Passed,95 min,8.2,,Charles Chaplin,"5,450,000",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Sherlock Jr.,1924,Passed,45 min,8.2,,Buster Keaton,"977,375",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
195,Portrait de la jeune fille en feu,2019,R,122 min,8.1,95.0,Céline Sciamma,"3,759,854",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
196,Pink,2016,UA,136 min,8.1,,Aniruddha Roy Chowdhury,"1,241,223",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197,Koe no katachi,2016,16,130 min,8.1,78.0,Naoko Yamada,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
198,Contratiempo,2016,TV-MA,106 min,8.1,,Oriol Paulo,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
199,Ah-ga-ssi,2016,A,145 min,8.1,84.0,Chan-wook Park,"2,006,788",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
200,Mommy,2014,R,139 min,8.1,74.0,Xavier Dolan,"3,492,754",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Haider,2014,UA,160 min,8.1,,Vishal Bhardwaj,"901,610",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Logan,2017,A,137 min,8.1,77.0,James Mangold,"226,277,068",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
203,Room,2015,R,118 min,8.1,86.0,Lenny Abrahamson,"14,677,674",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,Relatos salvajes,2014,R,122 min,8.1,77.0,Damián Szifron,"3,107,072",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205,Soul,2020,U,100 min,8.1,83.0,Pete Docter,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Kis Uykusu,2014,,196 min,8.1,88.0,Nuri Bilge Ceylan,"165,520",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,PK,2014,UA,153 min,8.1,,Rajkumar Hirani,"10,616,104",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
208,OMG: Oh My God!,2012,U,125 min,8.1,,Umesh Shukla,"923,221",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209,The Grand Budapest Hotel,2014,UA,99 min,8.1,88.0,Wes Anderson,"59,100,318",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Gone Girl,2014,A,149 min,8.1,79.0,David Fincher,"167,767,189",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
211,Ôkami kodomo no Ame to Yuki,2012,U,117 min,8.1,71.0,Mamoru Hosoda,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
212,Hacksaw Ridge,2016,A,139 min,8.1,71.0,Mel Gibson,"67,209,615",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,Inside Out,2015,U,95 min,8.1,94.0,Pete Docter,"356,461,711",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Barfi!,2012,U,151 min,8.1,,Anurag Basu,"2,804,874",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
215,12 Years a Slave,2013,A,134 min,8.1,96.0,Steve McQueen,"56,671,993",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
216,Rush,2013,UA,123 min,8.1,74.0,Ron Howard,"26,947,624",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Ford v Ferrari,2019,UA,152 min,8.1,81.0,James Mangold,"117,624,028",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Spotlight,2015,A,129 min,8.1,93.0,Tom McCarthy,"45,055,776",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Song of the Sea,2014,PG,93 min,8.1,85.0,Tomm Moore,"857,524",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Kahaani,2012,UA,122 min,8.1,,Sujoy Ghosh,"1,035,953",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
221,Zindagi Na Milegi Dobara,2011,U,155 min,8.1,,Zoya Akhtar,"3,108,485",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Prisoners,2013,A,153 min,8.1,70.0,Denis Villeneuve,"61,002,302",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
223,Mad Max: Fury Road,2015,UA,120 min,8.1,90.0,George Miller,"154,058,340",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
224,A Wednesday,2008,UA,104 min,8.1,,Neeraj Pandey,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Gran Torino,2008,R,116 min,8.1,72.0,Clint Eastwood,"148,095,302",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Harry Potter and the Deathly Hallows: Part 2,2011,UA,130 min,8.1,85.0,David Yates,"381,011,219",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
227,Okuribito,2008,PG-13,130 min,8.1,68.0,Yôjirô Takita,"1,498,210",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
228,Hachi: A Dog's Tale,2009,G,93 min,8.1,,Lasse Hallström,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,Mary and Max,2009,,92 min,8.1,,Adam Elliot,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
230,How to Train Your Dragon,2010,U,98 min,8.1,75.0,Dean DeBlois,"217,581,231",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Into the Wild,2007,R,148 min,8.1,73.0,Sean Penn,"18,354,356",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,No Country for Old Men,2007,R,122 min,8.1,91.0,Ethan Coen,"74,283,625",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
233,Lage Raho Munna Bhai,2006,U,144 min,8.1,,Rajkumar Hirani,"2,217,561",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
234,Million Dollar Baby,2004,UA,132 min,8.1,86.0,Clint Eastwood,"100,492,203",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
235,Hotel Rwanda,2004,PG-13,121 min,8.1,79.0,Terry George,"23,530,892",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,Taegukgi hwinalrimyeo,2004,R,140 min,8.1,64.0,Je-kyu Kang,"1,111,061",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
237,Before Sunset,2004,R,80 min,8.1,90.0,Richard Linklater,"5,820,649",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
238,Munna Bhai M.B.B.S.,2003,U,156 min,8.1,,Rajkumar Hirani,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
239,Salinui chueok,2003,UA,131 min,8.1,82.0,Bong Joon Ho,"14,131",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,Dil Chahta Hai,2001,Unrated,183 min,8.1,,Farhan Akhtar,"300,000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
241,Kill Bill: Vol. 1,2003,R,111 min,8.1,69.0,Quentin Tarantino,"70,099,045",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Finding Nemo,2003,U,100 min,8.1,90.0,Andrew Stanton,"380,843,261",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Catch Me If You Can,2002,A,141 min,8.1,75.0,Steven Spielberg,"164,615,351",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Amores perros,2000,A,154 min,8.1,83.0,Alejandro G. Iñárritu,"5,383,834",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
245,"Monsters, Inc.",2001,U,92 min,8.1,79.0,Pete Docter,"289,916,256",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
246,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,UA,87 min,8.1,,Hideaki Anno,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Lagaan: Once Upon a Time in India,2001,U,224 min,8.1,84.0,Ashutosh Gowariker,"70,147",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
248,The Sixth Sense,1999,A,107 min,8.1,64.0,M. Night Shyamalan,"293,506,292",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
249,La leggenda del pianista sull'oceano,1998,U,169 min,8.1,58.0,Giuseppe Tornatore,"259,127",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
250,The Truman Show,1998,U,103 min,8.1,90.0,Peter Weir,"125,618,201",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,"Crna macka, beli macor",1998,R,127 min,8.1,73.0,Emir Kusturica,"348,660",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
252,The Big Lebowski,1998,R,117 min,8.1,71.0,Joel Coen,"17,498,804",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
253,Fa yeung nin wah,2000,U,98 min,8.1,85.0,Kar-Wai Wong,"2,734,044",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
254,Trainspotting,1996,A,93 min,8.1,83.0,Danny Boyle,"16,501,785",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Fargo,1996,A,98 min,8.1,85.0,Joel Coen,"24,611,975",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
256,Underground,1995,,170 min,8.1,,Emir Kusturica,"171,082",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
257,La haine,1995,UA,98 min,8.1,,Mathieu Kassovitz,"309,811",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Dilwale Dulhania Le Jayenge,1995,U,189 min,8.1,,Aditya Chopra,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
259,Before Sunrise,1995,R,101 min,8.1,77.0,Richard Linklater,"5,535,405",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
260,Trois couleurs: Rouge,1994,U,99 min,8.1,100.0,Krzysztof Kieslowski,"4,043,686",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
261,Chung Hing sam lam,1994,U,102 min,8.1,77.0,Kar-Wai Wong,"600,200",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Jurassic Park,1993,UA,127 min,8.1,68.0,Steven Spielberg,"402,453,882",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
263,In the Name of the Father,1993,UA,133 min,8.1,84.0,Jim Sheridan,"25,010,410",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Ba wang bie ji,1993,R,171 min,8.1,,Kaige Chen,"5,216,888",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
265,Dà hóng denglong gaogao guà,1991,PG,125 min,8.1,,Yimou Zhang,"2,603,061",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
266,Dead Poets Society,1989,U,128 min,8.1,79.0,Peter Weir,"95,860,116",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Stand by Me,1986,U,89 min,8.1,75.0,Rob Reiner,"52,287,414",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Platoon,1986,A,120 min,8.1,92.0,Oliver Stone,"138,530,565",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
269,"Paris, Texas",1984,U,145 min,8.1,78.0,Wim Wenders,"2,181,987",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Kaze no tani no Naushika,1984,U,117 min,8.1,86.0,Hayao Miyazaki,"495,770",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
271,The Thing,1982,A,109 min,8.1,57.0,John Carpenter,"13,782,838",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
272,Pink Floyd: The Wall,1982,UA,95 min,8.1,47.0,Alan Parker,"22,244,207",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
273,Fitzcarraldo,1982,R,158 min,8.1,,Werner Herzog,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Fanny och Alexander,1982,A,188 min,8.1,100.0,Ingmar Bergman,"4,971,340",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Blade Runner,1982,UA,117 min,8.1,84.0,Ridley Scott,"32,868,943",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
276,The Elephant Man,1980,UA,124 min,8.1,78.0,David Lynch,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Life of Brian,1979,R,94 min,8.1,77.0,Terry Jones,"20,045,115",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,The Deer Hunter,1978,A,183 min,8.1,86.0,Michael Cimino,"48,979,328",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
279,Rocky,1976,U,120 min,8.1,70.0,John G. Avildsen,"117,235,247",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
280,Network,1976,UA,121 min,8.1,83.0,Sidney Lumet,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Barry Lyndon,1975,PG,185 min,8.1,89.0,Stanley Kubrick,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
282,Zerkalo,1975,G,107 min,8.1,,Andrei Tarkovsky,"177,345",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Chinatown,1974,UA,130 min,8.1,92.0,Roman Polanski,"29,000,000",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
284,Paper Moon,1973,U,102 min,8.1,77.0,Peter Bogdanovich,"30,933,743",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Viskningar och rop,1972,A,91 min,8.1,,Ingmar Bergman,"1,742,348",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Solaris,1972,PG,167 min,8.1,90.0,Andrei Tarkovsky,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
287,Le samouraï,1967,GP,105 min,8.1,,Jean-Pierre Melville,"39,481",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
288,Cool Hand Luke,1967,A,127 min,8.1,92.0,Stuart Rosenberg,"16,217,773",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Persona,1966,,85 min,8.1,86.0,Ingmar Bergman,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
290,Andrei Rublev,1966,R,205 min,8.1,,Andrei Tarkovsky,"102,021",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
291,La battaglia di Algeri,1966,,121 min,8.1,96.0,Gillo Pontecorvo,"55,908",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
292,El ángel exterminador,1962,,95 min,8.1,,Luis Buñuel,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
293,What Ever Happened to Baby Jane?,1962,Passed,134 min,8.1,75.0,Robert Aldrich,"4,050,000",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
294,Sanjuro,1962,U,96 min,8.1,,Akira Kurosawa,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,The Man Who Shot Liberty Valance,1962,,123 min,8.1,94.0,John Ford,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Ivanovo detstvo,1962,,95 min,8.1,,Andrei Tarkovsky,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
297,Jungfrukällan,1960,A,89 min,8.1,,Ingmar Bergman,"1,526,000",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Inherit the Wind,1960,Passed,128 min,8.1,75.0,Stanley Kramer,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
299,Les quatre cents coups,1959,,99 min,8.1,,François Truffaut,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Ben-Hur,1959,U,212 min,8.1,90.0,William Wyler,"74,700,000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
301,Kakushi-toride no san-akunin,1958,,139 min,8.1,,Akira Kurosawa,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Le notti di Cabiria,1957,,110 min,8.1,,Federico Fellini,"752,045",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Kumonosu-jô,1957,,110 min,8.1,,Akira Kurosawa,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
304,The Bridge on the River Kwai,1957,PG,161 min,8.1,87.0,David Lean,"44,908,000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
305,On the Waterfront,1954,A,108 min,8.1,91.0,Elia Kazan,"9,600,000",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
306,Le salaire de la peur,1953,U,131 min,8.1,85.0,Henri-Georges Clouzot,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
307,Ace in the Hole,1951,Approved,111 min,8.1,72.0,Billy Wilder,"3,969,893",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
308,White Heat,1949,,114 min,8.1,,Raoul Walsh,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,The Third Man,1949,Approved,104 min,8.1,97.0,Carol Reed,"449,191",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
310,The Red Shoes,1948,,135 min,8.1,,Michael Powell,"10,900,000",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
311,The Shop Around the Corner,1940,,99 min,8.1,96.0,Ernst Lubitsch,"203,300",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
312,Rebecca,1940,Approved,130 min,8.1,86.0,Alfred Hitchcock,"4,360,000",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
313,Mr. Smith Goes to Washington,1939,Passed,129 min,8.1,73.0,Frank Capra,"9,600,000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Gone with the Wind,1939,U,238 min,8.1,97.0,Victor Fleming,"198,676,459",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
315,La Grande Illusion,1937,,113 min,8.1,,Jean Renoir,"172,885",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
316,It Happened One Night,1934,Approved,105 min,8.1,87.0,Frank Capra,"4,360,000",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
317,La passion de Jeanne d'Arc,1928,Passed,110 min,8.1,,Carl Theodor Dreyer,"21,877",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
318,The Circus,1928,Passed,72 min,8.1,90.0,Charles Chaplin,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
