,Series_Title,Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Gross,Drama,Crime,Action,Biography,Western,Comedy,Adventure,Animation,Horror,Mystery,Film-Noir,Fantasy,Family,Thriller,Romance,Sci-Fi,War,Music,Musical,Sport,History
35,The Intouchables,2011,UA,112 min,8.5,57.0,Olivier Nakache,"13,182,281",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,The Prestige,2006,U,130 min,8.5,66.0,Christopher Nolan,"53,089,891",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37,The Departed,2006,A,151 min,8.5,85.0,Martin Scorsese,"132,384,315",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,The Pianist,2002,R,150 min,8.5,85.0,Roman Polanski,"32,572,577",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,Gladiator,2000,UA,155 min,8.5,67.0,Ridley Scott,"187,705,427",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,American History X,1998,R,119 min,8.5,62.0,Tony Kaye,"6,719,864",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,The Usual Suspects,1995,A,106 min,8.5,77.0,Bryan Singer,"23,341,568",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
42,Léon,1994,A,110 min,8.5,64.0,Luc Besson,"19,501,238",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,The Lion King,1994,U,88 min,8.5,88.0,Roger Allers,"422,783,777",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Terminator 2: Judgment Day,1991,U,137 min,8.5,75.0,James Cameron,"204,843,350",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,Nuovo Cinema Paradiso,1988,U,155 min,8.5,80.0,Giuseppe Tornatore,"11,990,401",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,Hotaru no haka,1988,U,89 min,8.5,94.0,Isao Takahata,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
47,Back to the Future,1985,U,116 min,8.5,87.0,Robert Zemeckis,"210,609,762",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,Once Upon a Time in the West,1968,U,165 min,8.5,80.0,Sergio Leone,"5,321,508",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Psycho,1960,A,109 min,8.5,97.0,Alfred Hitchcock,"32,000,000",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
50,Casablanca,1942,U,102 min,8.5,100.0,Michael Curtiz,"1,024,560",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
51,Modern Times,1936,G,87 min,8.5,96.0,Charles Chaplin,"163,245",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,City Lights,1931,G,87 min,8.5,99.0,Charles Chaplin,"19,181",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,Capharnaüm,2018,A,126 min,8.4,75.0,Nadine Labaki,"1,661,096",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Ayla: The Daughter of War,2017,,125 min,8.4,,Can Ulkay,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,Vikram Vedha,2017,UA,147 min,8.4,,Gayatri,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Kimi no na wa.,2016,U,106 min,8.4,79.0,Makoto Shinkai,"5,017,246",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
57,Dangal,2016,U,161 min,8.4,,Nitesh Tiwari,"12,391,761",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Spider-Man: Into the Spider-Verse,2018,U,117 min,8.4,87.0,Bob Persichetti,"190,241,310",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Avengers: Endgame,2019,UA,181 min,8.4,78.0,Anthony Russo,"858,373,000",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Avengers: Infinity War,2018,UA,149 min,8.4,68.0,Anthony Russo,"678,815,482",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,Coco,2017,U,105 min,8.4,81.0,Lee Unkrich,"209,726,015",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
62,Django Unchained,2012,A,165 min,8.4,81.0,Quentin Tarantino,"162,805,434",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,The Dark Knight Rises,2012,UA,164 min,8.4,78.0,Christopher Nolan,"448,139,099",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3 Idiots,2009,UA,170 min,8.4,67.0,Rajkumar Hirani,"6,532,908",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Taare Zameen Par,2007,U,165 min,8.4,,Aamir Khan,"1,223,869",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,WALL·E,2008,U,98 min,8.4,95.0,Andrew Stanton,"223,808,164",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
67,The Lives of Others,2006,A,137 min,8.4,89.0,Florian Henckel von Donnersmarck,"11,286,112",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
68,Oldeuboi,2003,A,101 min,8.4,77.0,Chan-wook Park,"707,481",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,Memento,2000,UA,113 min,8.4,80.0,Christopher Nolan,"25,544,867",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
70,Mononoke-hime,1997,U,134 min,8.4,76.0,Hayao Miyazaki,"2,375,308",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Once Upon a Time in America,1984,A,229 min,8.4,,Sergio Leone,"5,321,508",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Raiders of the Lost Ark,1981,A,115 min,8.4,85.0,Steven Spielberg,"248,159,971",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,The Shining,1980,A,146 min,8.4,66.0,Stanley Kubrick,"44,017,374",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,Apocalypse Now,1979,R,147 min,8.4,94.0,Francis Ford Coppola,"83,471,511",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75,Alien,1979,R,117 min,8.4,89.0,Ridley Scott,"78,900,000",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
76,Anand,1971,U,122 min,8.4,,Hrishikesh Mukherjee,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
77,Tengoku to jigoku,1963,,143 min,8.4,,Akira Kurosawa,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95 min,8.4,97.0,Stanley Kubrick,"275,902",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Witness for the Prosecution,1957,U,116 min,8.4,,Billy Wilder,"8,175,000",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,Paths of Glory,1957,A,88 min,8.4,90.0,Stanley Kubrick,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,Rear Window,1954,U,112 min,8.4,100.0,Alfred Hitchcock,"36,764,313",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
